Target PPM,Resistance
1000.0,1.7903040456228072
1000.0,1.84926210123557
1000.0,1.9244010800907905
1000.0,1.9671813860862986
800.0,2.0035731583303202
1000.0,2.01820838226097
1000.0,2.028530976423426
1000.0,2.032866402635935
1000.0,2.05926927086582
1000.0,2.065661573910257
800.0,2.068380285309955
1000.0,2.0885685634278066
1000.0,2.1183958808068426
800.0,2.1579011114210904
1000.0,2.1792178854832587
1000.0,2.1830611242146376
1000.0,2.1978085629316495
800.0,2.2058501803750254
800.0,2.2575893323152125
800.0,2.270691338354666
800.0,2.2717084361689603
1000.0,2.3023581130717568
800.0,2.3044441887980973
600.0,2.308037337905705
800.0,2.312883044986101
600.0,2.3288025014086813
800.0,2.3390004560559468
800.0,2.3681400873600063
600.0,2.3824351523681706
600.0,2.386209958435367
1000.0,2.415817244846909
800.0,2.4402161740329267
800.0,2.4444001275987013
800.0,2.4576376319065805
600.0,2.4872816743295147
600.0,2.4923423106389566
600.0,2.5065215810213877
600.0,2.5294055325792866
600.0,2.5401180798348983
600.0,2.5407660603775852
800.0,2.57166526310319
600.0,2.579002597599591
600.0,2.594086103897779
600.0,2.5991300782596456
600.0,2.601951392083592
600.0,2.6093032155249625
600.0,2.616795020006522
600.0,2.6230173038865727
600.0,2.6232358953031882
600.0,2.6538748379516433
600.0,2.670376576147795
600.0,2.680982881120653
600.0,2.681109993686656
600.0,2.692309796925001
600.0,2.6977655079211686
800.0,2.699819356586839
600.0,2.731242454106243
400.0,2.7872781825457476
400.0,2.795280393251218
600.0,2.8121382234462318
600.0,2.815073331817218
600.0,2.8188927399664423
600.0,2.8335439792639754
400.0,2.86175329848282
400.0,2.893854155160298
600.0,2.9177605836962845
600.0,2.9702480215962836
400.0,2.9848388710925415
400.0,3.007900958880291
400.0,3.028463738033822
400.0,3.0398452252289774
400.0,3.0542892515516855
400.0,3.0889769434910046
400.0,3.090079018233412
400.0,3.1072328015679584
600.0,3.116892841234111
400.0,3.131701449931134
400.0,3.1333310156915455
400.0,3.1506744205676696
400.0,3.161679804359116
300.0,3.162904770616095
400.0,3.1767790816588404
400.0,3.1851722247143237
400.0,3.211991693113587
400.0,3.215828821192528
400.0,3.2245554110399746
400.0,3.2401045575853447
300.0,3.247151956540107
400.0,3.2480936852611784
400.0,3.276765585010105
400.0,3.3160941417917242
400.0,3.3742197563908496
300.0,3.393256679930148
300.0,3.4174433341212267
400.0,3.4306977269129373
400.0,3.432395370778432
400.0,3.448964005108477
300.0,3.4635689300467787
300.0,3.4743227781461266
400.0,3.500872373204466
300.0,3.5015051824660084
300.0,3.5177709743502033
300.0,3.5615880799648463
300.0,3.566323532306225
400.0,3.60823118421684
300.0,3.614943550097376
300.0,3.6485211182730155
300.0,3.6715987274126958
300.0,3.6851648409224205
400.0,3.7850282082052082
300.0,3.8211348259248923
300.0,3.964500909607916
100.0,5.141499427827416
100.0,5.415084223717669
100.0,5.558422220958518
100.0,5.649592996276401
100.0,5.694195606198704
100.0,5.6946663637674115
100.0,5.757043478374327
100.0,5.794976075546547
100.0,5.900407467982468
100.0,5.907533716588033
100.0,6.021883928715429
100.0,6.034742973387591
100.0,6.11758288354434
100.0,6.171732231246022
100.0,6.243136103587454
100.0,6.447317453590698
